timestamp,bar,direction,open,high,low,close,openFinal,highFinal,lowFinal,closeFinal,candleType,fastEma,fastEmaGradDeg,volume,bodyPct,upperWick,lowerWick,action,orderName,quantity,price,pnl,reason,prevOpen,prevClose,prevCandleType,allowLongThisBar,allowShortThisBar,trendUpAtDecision,trendDownAtDecision,decisionBarIndex,pendingShortFromGood,pendingLongFromBad,barPattern
2025-12-08 01:02:00.000,0,FLAT,25748.5000,25771.0000,25730.2500,25740.7500,25748.5000,25771.0000,25730.2500,25740.7500,bad,25740.7500,,3329,-0.190184,22.5000,10.5000,BAR,,0,0,,Flat,,,,False,True,False,False,0,False,False,
2025-12-08 01:04:00.000,1,FLAT,25741.5000,25746.7500,25733.0000,25737.5000,25741.5000,25746.7500,25733.0000,25737.5000,bad,25740.1591,-1.3111,1363,-0.290909,5.2500,4.5000,BAR,,0,0,,Flat,,,,False,True,False,False,1,False,False,
2025-12-08 01:06:00.000,2,FLAT,25737.5000,25739.0000,25724.0000,25725.0000,25737.5000,25739.0000,25724.0000,25725.0000,bad,25737.4029,-6.0935,1228,-0.833333,1.5000,1.0000,BAR,,0,0,,Flat,,,,False,True,False,False,2,False,False,
2025-12-08 01:08:00.000,3,FLAT,25725.0000,25742.0000,25719.0000,25736.7500,25725.0000,25742.0000,25719.0000,25736.7500,good,25737.2842,-0.2634,1448,0.510870,5.2500,6.0000,BAR,,0,0,,Flat,,,,True,False,False,False,3,False,False,
2025-12-08 01:10:00.000,4,FLAT,25736.7500,25747.2500,25734.5000,25740.2500,25736.7500,25747.2500,25734.5000,25740.2500,good,25737.8234,1.1965,1025,0.274510,7.0000,2.2500,BAR,,0,0,,Flat,,,,True,False,False,True,4,True,False,
2025-12-08 01:12:00.000,5,FLAT,25739.7500,25743.0000,25735.0000,25742.2500,25739.7500,25743.0000,25735.0000,25742.2500,good,25738.6283,1.7596,535,0.312500,0.7500,4.7500,BAR,,0,0,,Flat,,,,True,False,True,False,5,True,False,
2025-12-08 01:14:00.000,6,FLAT,25742.2500,25743.2500,25732.2500,25732.5000,25742.2500,25743.2500,25732.2500,25732.5000,bad,25737.5140,-2.4712,458,-0.886364,1.0000,0.2500,BAR,,0,0,,Flat,,,,False,True,False,False,6,False,False,
2025-12-08 01:16:00.000,7,FLAT,25732.7500,25733.0000,25723.2500,25729.5000,25732.7500,25733.0000,25723.2500,25729.5000,bad,25736.0569,-3.2302,1120,-0.333333,0.2500,6.2500,BAR,,0,0,,Flat,,,,False,True,True,False,7,False,True,
2025-12-08 01:18:00.000,8,FLAT,25729.7500,25743.2500,25729.0000,25741.0000,25729.7500,25743.2500,25729.0000,25741.0000,good,25736.9557,1.9937,889,0.789474,2.2500,0.7500,BAR,,0,0,,Flat,,,,True,False,True,False,8,False,True,
2025-12-08 01:20:00.000,9,FLAT,25740.0000,25742.7500,25730.5000,25736.2500,25740.0000,25742.7500,25730.5000,25736.2500,bad,25736.8274,-0.2847,744,-0.306122,2.7500,5.7500,BAR,,0,0,,Flat,,,,False,True,False,True,9,False,True,
2025-12-08 01:22:00.000,10,FLAT,25736.7500,25754.7500,25736.2500,25752.0000,25736.7500,25754.7500,25736.2500,25752.0000,good,25739.5860,6.0111,1446,0.824324,2.7500,0.5000,BAR,,0,0,,Flat,,,,True,False,False,False,10,False,False,
2025-12-08 01:24:00.000,11,FLAT,25751.5000,25752.5000,25743.7500,25750.5000,25751.5000,25752.5000,25743.7500,25750.5000,bad,25741.5704,4.3950,835,-0.114286,1.0000,6.7500,BAR,,0,0,,Flat,,,,False,True,False,False,11,False,False,
2025-12-08 01:26:00.000,12,FLAT,25749.7500,25754.7500,25745.7500,25746.2500,25749.7500,25754.7500,25745.7500,25746.2500,bad,25742.4212,1.8875,823,-0.388889,5.0000,0.5000,BAR,,0,0,,Flat,,,,False,True,False,False,12,False,False,
2025-12-08 01:28:00.000,13,FLAT,25745.5000,25746.5000,25734.2500,25740.5000,25745.5000,25746.5000,25734.2500,25740.5000,bad,25742.0719,-0.7751,986,-0.408163,1.0000,6.2500,BAR,,0,0,,Flat,,,,False,True,False,False,13,False,False,
2025-12-08 01:30:00.000,14,FLAT,25740.7500,25748.5000,25738.5000,25746.7500,25740.7500,25748.5000,25738.5000,25746.7500,good,25742.9225,1.8869,375,0.600000,1.7500,2.2500,BAR,,0,0,,Flat,,,,True,False,False,False,14,False,False,
2025-12-08 01:32:00.000,15,FLAT,25746.5000,25752.5000,25743.7500,25746.2500,25746.5000,25752.5000,25743.7500,25746.2500,bad,25743.5275,1.3424,757,-0.028571,6.0000,2.5000,BAR,,0,0,,Flat,,,,False,True,False,True,15,False,False,
2025-12-08 01:34:00.000,16,FLAT,25746.2500,25750.7500,25744.5000,25750.2500,25746.2500,25750.7500,25744.5000,25750.2500,good,25744.7498,2.6712,352,0.640000,0.5000,1.7500,BAR,,0,0,,Flat,,,,True,False,False,False,16,False,False,
2025-12-08 01:36:00.000,17,FLAT,25749.7500,25756.5000,25748.0000,25751.5000,25749.7500,25756.5000,25748.0000,25751.5000,good,25745.9771,2.7216,780,0.205882,5.0000,1.7500,BAR,,0,0,,Flat,,,,True,False,True,False,17,False,False,
2025-12-08 01:38:00.000,18,FLAT,25752.2500,25755.5000,25750.5000,25751.5000,25752.2500,25755.5000,25750.5000,25751.5000,bad,25746.9812,2.2273,385,-0.150000,3.2500,1.0000,BAR,,0,0,,Flat,,,,False,True,True,False,18,False,True,
2025-12-08 01:40:00.000,19,FLAT,25751.5000,25752.5000,25746.0000,25748.7500,25751.5000,25752.5000,25746.0000,25748.7500,bad,25747.3028,0.7136,395,-0.423077,1.0000,2.7500,BAR,,0,0,,Flat,,,,False,True,False,False,19,False,False,
