ts_local,bar_time_utc,bar_index,open,high,low,close,vpm,attract,objection,netflow,ema_color,momentum,supertrend,upper_band,lower_band,bull_cross,bear_cross,bull_cross_raw,bear_cross_raw,bull_reason,bear_reason,realtime_state,realtime_reason,regime,atr30,ema10,ema20,energy_ema_first,range_max,range_min,range_mid,range_os,range_count,score_bull,score_bear,adx,atr_ratio,ema_spread,price_to_band,momentum_ext,range_break,exit_long,exit_short
2025-11-17 01:00:30.000,2025-11-17T07:00:30.0000000Z,0,25144,25147.25,25092,25108,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,27.625,25107.999999999996,25108,25139.400000000001,,,,0,,,0,0,,,,0,,0,0,0
2025-11-17 01:01:00.000,2025-11-17T07:01:00.0000000Z,1,25108,25108,25080,25086.5,4,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,27.916666666666668,25100.801652892555,25104.052154195015,25128.720000000005,,,,0,,,0,0,,,,0,,0,0,0
2025-11-17 01:01:30.000,2025-11-17T07:01:30.0000000Z,2,25086,25086,25057.25,25079.5,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,28.5,25095.68895567242,25101.010905949683,25118.576000000008,,,,0,,,0,0,,,,0,,0,0,0
2025-11-17 01:02:00.000,2025-11-17T07:02:00.0000000Z,3,25078,25078.75,25055,25059.5,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,27.600000000000001,25086.17526125264,25095.368143931802,25106.680800000006,,,,0,,,0,0,,,,0,,0,0,0
2025-11-17 01:02:30.000,2025-11-17T07:02:30.0000000Z,4,25058.5,25066.25,25029.5,25034.25,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,28.958333333333332,25073.126866644721,25087.457799158252,25093.434640000007,,,,0,,,0,0,,,,0,,0,0,0
2025-11-17 01:03:00.000,2025-11-17T07:03:00.0000000Z,5,25034.25,25049,25026,25037.25,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,28.285714285714285,25067.277353701051,25083.053655020733,25084.807712000005,,,,0,,,0,0,,,,0,,0,0,0
2025-11-17 01:03:30.000,2025-11-17T07:03:30.0000000Z,6,25038.5,25058,25036.75,25050.5,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,27.3125,25065.921140631439,25080.93970148134,25080.966169600004,,,,0,,,0,0,,,,0,,0,0,0
2025-11-17 01:04:00.000,2025-11-17T07:04:00.0000000Z,7,25050,25055.75,25045.25,25046.75,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,25.5,25062.133825805886,25077.498732179265,25075.242935680006,,,,0,,,0,0,,,,0,,0,0,0
2025-11-17 01:04:30.000,2025-11-17T07:04:30.0000000Z,8,25047.75,25057.25,25044.75,25054.75,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,24.175000000000001,25061.696270700682,25075.863932289176,25072.514348544006,,,,0,,,0,0,,,,0,,0,0,0
2025-11-17 01:05:00.000,2025-11-17T07:05:00.0000000Z,9,25054,25055,25029.5,25031,2,,,,,,,,,0,0,0,0,,,FLAT,,FLAT,24.227272727272727,25052.693642969974,25069.609317422637,25064.371478835208,,,,0,,,0,0,,,,0,,0,0,0
2025-11-17 01:05:30.000,2025-11-17T07:05:30.0000000Z,10,25031,25049.75,25021.5,25046.5,2,4.5,2,2.5,0,,24857.599999999999,25204.400000000001,24857.599999999999,0,0,1,0,[CROSS]|[NETFLOW-BULL] emaColor=0 net=2.50|[RT-FLAT],,FLAT,NONE_UP|diff=15.50|BULL_FAIL:ema<8|BEAR_FAIL:net>-0.50&obj<4.00,BULL,24.645833333333332,25053.691493008489,25068.64879286084,25063.597183068166,,,,0,,,7,5,,,,0,,0,0,0
2025-11-17 01:06:00.000,2025-11-17T07:06:00.0000000Z,11,25045.5,25047.25,25033,25040,2,4.5,4,0.5,0,,24943.099999999999,25136.900000000001,24943.099999999999,0,0,0,0,[GUARD-EMA0],,FLAT,NONE_DOWN|diff=-5.50|BULL_FAIL:net<1.00&obj>3.00&ema<8|BEAR_FAIL:net>-0.50,BULL,23.76923076923077,25050.383948825125,25065.446413495411,25059.157746454537,,,,0,,,4,4,,,,0,,0,0,0
2025-11-17 01:06:30.000,2025-11-17T07:06:30.0000000Z,12,25040,25059,25037.75,25048.75,2,4.5,2,2.5,0,,24943.099999999999,25136.900000000001,24943.099999999999,0,0,0,0,[NETFLOW-BULL] emaColor=0 net=2.50|[RT-FLAT],,FLAT,NONE_UP|diff=8.75|BULL_FAIL:ema<8|BEAR_FAIL:net>-0.50&obj<4.00,BULL,23.589285714285715,25051.38852011312,25064.610247130768,25060.116197163632,,,,0,,,4,4,68.233438175454211,,,0,,0,0,0
2025-11-17 01:07:00.000,2025-11-17T07:07:00.0000000Z,13,25048.75,25067.25,25048.75,25067,2,5,2,3,1,,24943.099999999999,25136.900000000001,24943.099999999999,0,0,0,0,[NETFLOW-BULL] emaColor=1 net=3.00|[RT-FLAT],,FLAT,NONE_UP|diff=18.25|BULL_FAIL:ema<8|BEAR_FAIL:net>-0.50&obj<4.00,BULL,23.25,25056.941847034697,25066.410405000399,25064.452957730908,,,,0,,,2,2,66.13242083766589,,,0,0,0,0,0
