timestamp,bar,direction,open,high,low,close,openFinal,highFinal,lowFinal,closeFinal,candleType,fastEma,fastEmaGradDeg,volume,bodyPct,upperWick,lowerWick,action,orderName,quantity,price,pnl,reason,prevOpen,prevClose,prevCandleType,allowLongThisBar,allowShortThisBar,trendUpAtDecision,trendDownAtDecision,decisionBarIndex,pendingShortFromGood,pendingLongFromBad,barPattern
2025-12-08 01:02:00.000,0,FLAT,25748.5000,25771.0000,25730.2500,25740.7500,25748.5000,25771.0000,25730.2500,25740.7500,bad,25740.7500,,3329,-0.190184,22.5000,10.5000,BAR,,0,0,,Flat,,,,False,True,False,False,0,False,False,
2025-12-08 01:04:00.000,1,FLAT,25741.5000,25746.7500,25733.0000,25737.5000,25741.5000,25746.7500,25733.0000,25737.5000,bad,25740.1591,-1.0143,1363,-0.290909,5.2500,4.5000,BAR,,0,0,,Flat,,,,False,True,False,False,1,False,False,
2025-12-08 01:06:00.000,2,FLAT,25737.5000,25739.0000,25724.0000,25725.0000,25737.5000,25739.0000,25724.0000,25725.0000,bad,25737.4029,-4.6528,1228,-0.833333,1.5000,1.0000,BAR,,0,0,,Flat,,,,False,True,False,False,2,False,False,
2025-12-08 01:08:00.000,3,FLAT,25725.0000,25742.0000,25719.0000,25736.7500,25725.0000,25742.0000,25719.0000,25736.7500,good,25737.2842,-0.2038,1448,0.510870,5.2500,6.0000,BAR,,0,0,,Flat,,,,True,False,False,False,3,False,False,
2025-12-08 01:10:00.000,4,FLAT,25736.7500,25747.2500,25734.5000,25740.2500,25736.7500,25747.2500,25734.5000,25740.2500,good,25737.8234,0.9257,1025,0.274510,7.0000,2.2500,BAR,,0,0,,Flat,,,,True,False,False,False,4,False,False,
2025-12-08 01:12:00.000,5,FLAT,25739.7500,25743.0000,25735.0000,25742.2500,25739.7500,25743.0000,25735.0000,25742.2500,good,25738.6283,1.3814,535,0.312500,0.7500,4.7500,BAR,,0,0,,Flat,,,,True,False,False,False,5,False,False,
2025-12-08 01:14:00.000,6,FLAT,25742.2500,25743.2500,25732.2500,25732.5000,25742.2500,25743.2500,25732.2500,25732.5000,bad,25737.5140,-1.9121,458,-0.886364,1.0000,0.2500,BAR,,0,0,,Flat,,,,False,True,False,False,6,False,False,
2025-12-08 01:16:00.000,7,FLAT,25732.7500,25733.0000,25723.2500,25729.5000,25732.7500,25733.0000,25723.2500,25729.5000,bad,25736.0569,-2.4637,1120,-0.333333,0.2500,6.2500,BAR,,0,0,,Flat,,,,False,True,False,False,7,False,False,
2025-12-08 01:18:00.000,8,FLAT,25729.7500,25743.2500,25729.0000,25741.0000,25729.7500,25743.2500,25729.0000,25741.0000,good,25736.9557,1.5425,889,0.789474,2.2500,0.7500,BAR,,0,0,,Flat,,,,True,False,False,False,8,False,False,
2025-12-08 01:20:00.000,9,FLAT,25740.0000,25742.7500,25730.5000,25736.2500,25740.0000,25742.7500,25730.5000,25736.2500,bad,25736.8274,-0.2203,744,-0.306122,2.7500,5.7500,BAR,,0,0,,Flat,,,,False,True,False,False,9,False,False,
2025-12-08 01:22:00.000,10,FLAT,25736.7500,25754.7500,25736.2500,25752.0000,25736.7500,25754.7500,25736.2500,25752.0000,good,25739.5860,4.7251,1446,0.824324,2.7500,0.5000,BAR,,0,0,,Flat,,,,True,False,False,False,10,False,False,
